vertical_Accel_x,vertical_Accel_y,vertical_Accel_z,accel_time_list
0.158,2.882,-9.089,9.644
0.338,3.142,-8.889,9.645
0.096,3.224,-8.678,9.647
-0.04,3.22,-8.5,9.649
-0.424,3.584,-9.178,9.723
-0.756,3.656,-9.822,9.725
-0.918,3.798,-11.011,9.726
-1.42,3.06,-11.3,9.728
-3.062,1.842,-11.289,9.73
-4.507,2.787,-11.467,9.825
-4.124,4.184,-12.378,9.827
-4.064,3.104,-12.978,9.829
-4.98,2.64,-12.0,9.83
-5.56,3.58,-10.0,9.832
-4.347,5.3,-8.004,9.923
-3.37,3.5,-7.369,9.925
-3.155,3.1,-6.472,9.927
-3.6,3.9,-6.7,9.928
-3.727,4.5,-7.417,9.93
-2.109,3.151,-10.488,10.025
-2.274,3.362,-11.201,10.028
-1.176,2.296,-10.032,10.029
-1.587,3.781,-11.25,10.031
-0.995,3.416,-11.173,10.036
-1.092,0.931,-11.677,10.132
-0.777,0.892,-11.231,10.133
-0.577,0.392,-10.631,10.135
-2.189,-0.004,-9.517,10.137
-2.004,0.482,-9.273,10.138
-1.601,1.32,-9.118,10.224
-1.509,1.363,-8.946,10.226
-1.155,1.142,-8.732,10.227
-0.449,2.219,-8.498,10.229
-0.302,2.062,-8.004,10.231
-0.191,1.009,-7.773,10.324
0.101,0.934,-7.575,10.326
0.259,0.592,-7.835,10.327
-0.126,0.507,-7.957,10.333
-0.4,0.8,-8.2,10.343
-0.722,1.144,-8.656,10.424
-0.885,1.015,-9.121,10.426
-0.934,1.132,-9.459,10.427
-1.124,1.076,-9.806,10.429
-1.555,1.145,-10.964,10.43
-3.239,-0.337,-12.998,10.523
-3.292,-0.645,-13.953,10.525
-1.8,-0.4,-12.0,10.527
-0.435,0.141,-9.224,10.528
-0.648,-0.588,-7.785,10.628
-0.847,-1.046,-7.775,10.63
-1.277,-1.647,-8.868,10.632
-1.964,-1.24,-9.83,10.633
-2.455,-1.862,-11.119,10.635
-2.352,-3.302,-10.757,10.725
-2.235,-3.713,-10.119,10.732
-1.432,-3.209,-9.705,10.738
-0.974,-3.199,-9.422,10.739
-0.797,-2.496,-9.487,10.749
-0.997,-1.696,-9.687,10.824
-1.14,-1.654,-9.774,10.829
-1.402,-1.736,-9.842,10.831
-1.011,-1.648,-9.982,10.833
-0.625,-2.133,-9.707,10.834
1.263,-2.69,-9.205,10.925
1.378,-2.482,-9.146,10.926
1.494,-2.415,-9.101,10.928
1.632,-2.565,-9.01,10.93
2.839,-2.855,-8.451,10.938
2.886,-3.143,-8.329,11.025
2.88,-3.318,-8.984,11.027
2.839,-3.555,-9.851,11.028
2.735,-3.739,-10.488,11.034
2.771,-3.786,-10.857,11.036
2.888,-3.851,-10.81,11.124
2.931,-3.622,-11.024,11.125
2.629,-3.514,-12.043,11.127
2.416,-3.465,-13.153,11.148
2.435,-3.439,-13.588,11.15
0.491,-6.226,-11.952,11.225
0.387,-5.339,-10.478,11.227
0.039,-4.583,-9.065,11.228
-0.378,-4.435,-8.37,11.233
-0.739,-4.617,-8.835,11.235
-0.978,-6.444,-8.944,11.327
-0.82,-6.805,-9.269,11.329
-0.854,-6.838,-9.402,11.331
-0.886,-6.646,-9.292,11.332
-1.076,-6.594,-9.258,11.334
-1.437,-7.885,-8.237,11.425
-1.559,-7.896,-8.359,11.426
-1.837,-7.785,-8.337,11.429
-2.059,-7.896,-7.859,11.43
-2.048,-8.141,-7.848,11.432
-3.698,-8.927,-5.933,11.524
-3.52,-8.5,-5.64,11.525
-3.14,-7.8,-4.98,11.536
-2.918,-6.727,-4.973,11.537
-2.158,-6.227,-5.653,11.539
-1.352,-5.67,-6.098,11.624
-1.41,-5.282,-5.592,11.626
-1.257,-4.631,-6.134,11.627
-1.062,-5.012,-6.61,11.629
-1.176,-5.615,-6.259,11.631
-0.853,-6.13,-5.538,11.724
-1.107,-5.953,-4.952,11.726
-0.885,-5.902,-5.621,11.728
-0.338,-6.233,-5.66,11.734
-1.149,-7.543,-4.816,11.739
-1.89,-7.931,-4.957,11.824
-2.251,-7.357,-4.784,11.826
-1.596,-6.973,-4.463,11.829
-0.341,-6.488,-3.741,11.831
0.337,-6.539,-3.196,11.833
0.661,-6.67,-3.657,11.924
-0.843,-8.222,-4.174,11.935
-2.222,-9.861,-5.087,11.936
-2.487,-11.343,-5.048,11.938
-2.113,-11.857,-3.552,11.94
0.408,-11.762,-0.7,12.023
0.638,-11.208,-1.0,12.025
0.385,-10.777,-1.8,12.027
0.238,-10.608,-2.2,12.028
0.262,-10.292,-2.9,12.03
2.21,-8.802,-5.49,12.125
2.369,-9.014,-5.631,12.127
3.805,-9.345,-3.949,12.129
4.299,-9.311,-3.79,12.132
4.9,-8.8,-2.9,12.134
5.1,-8.9,-3.4,12.223
6.7,-8.9,-3.9,12.228
6.6,-8.8,-2.2,12.23
6.1,-9.0,-1.8,12.232
5.6,-8.0,-2.7,12.323
5.3,-7.6,-3.2,12.334
5.2,-8.0,-3.7,12.337
